Year,Economic activity,Value
2000,,12.86
2001,,14.95
2002,,17.04
2003,,19.13
2004,,20.18
2005,,21.24
2006,,22.3
2007,,23.36
2008,,24.41
2009,,25.47
2010,,26.53
2011,,26.53
2012,,26.54
2013,,26.54
2014,,26.54
2015,,26.55
2016,,33.24
2017,,33.24
2018,,33.24
2019,,33.24
2020,,33.24
2021,,33.24
2022,,33.24
2000,Agriculture (ISIC4 A01 A0210 A0322),8.33
2001,Agriculture (ISIC4 A01 A0210 A0322),10.36
2002,Agriculture (ISIC4 A01 A0210 A0322),12.39
2003,Agriculture (ISIC4 A01 A0210 A0322),14.43
2004,Agriculture (ISIC4 A01 A0210 A0322),14.61
2005,Agriculture (ISIC4 A01 A0210 A0322),14.8
2006,Agriculture (ISIC4 A01 A0210 A0322),14.98
2007,Agriculture (ISIC4 A01 A0210 A0322),15.17
2008,Agriculture (ISIC4 A01 A0210 A0322),15.35
2009,Agriculture (ISIC4 A01 A0210 A0322),15.54
2010,Agriculture (ISIC4 A01 A0210 A0322),15.72
2011,Agriculture (ISIC4 A01 A0210 A0322),15.72
2012,Agriculture (ISIC4 A01 A0210 A0322),15.73
2013,Agriculture (ISIC4 A01 A0210 A0322),15.73
2014,Agriculture (ISIC4 A01 A0210 A0322),15.73
2015,Agriculture (ISIC4 A01 A0210 A0322),15.73
2016,Agriculture (ISIC4 A01 A0210 A0322),26.66
2017,Agriculture (ISIC4 A01 A0210 A0322),26.66
2018,Agriculture (ISIC4 A01 A0210 A0322),26.66
2019,Agriculture (ISIC4 A01 A0210 A0322),26.66
2020,Agriculture (ISIC4 A01 A0210 A0322),26.66
2021,Agriculture (ISIC4 A01 A0210 A0322),26.66
2022,Agriculture (ISIC4 A01 A0210 A0322),26.66
2000,Industries,0.79
2001,Industries,0.8
2002,Industries,0.81
2003,Industries,0.82
2004,Industries,0.85
2005,Industries,0.88
2006,Industries,0.91
2007,Industries,0.94
2008,Industries,0.97
2009,Industries,1.0
2010,Industries,1.03
2011,Industries,1.03
2012,Industries,1.03
2013,Industries,1.03
2014,Industries,1.03
2015,Industries,1.03
2016,Industries,2.5
2017,Industries,2.5
2018,Industries,2.5
2019,Industries,2.5
2020,Industries,2.5
2021,Industries,2.5
2022,Industries,2.5
2000,Services (G to T),3.75
2001,Services (G to T),3.79
2002,Services (G to T),3.83
2003,Services (G to T),3.87
2004,Services (G to T),4.72
2005,Services (G to T),5.56
2006,Services (G to T),6.4
2007,Services (G to T),7.25
2008,Services (G to T),8.09
2009,Services (G to T),8.93
2010,Services (G to T),9.78
2011,Services (G to T),9.78
2012,Services (G to T),9.78
2013,Services (G to T),9.78
2014,Services (G to T),9.78
2015,Services (G to T),9.78
2016,Services (G to T),4.08
2017,Services (G to T),4.08
2018,Services (G to T),4.08
2019,Services (G to T),4.08
2020,Services (G to T),4.08
2021,Services (G to T),4.08
2022,Services (G to T),4.08
