Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2006,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",531.244
2007,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",841.26
2008,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",90.7753
2009,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1060.49
2010,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1438.83
2011,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",936.351
2012,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",2440.1
2013,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",731.375
2014,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1028.26
2015,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1857.59
2016,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",946.207
2017,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1338.62
2018,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",554.07
2019,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1437.31
2020,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",2248.32
2021,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",793.76
2022,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",968.022
2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",1791.62
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",218.632
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",350.202
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",325.103
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",363.749
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",397.976
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",543.175
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",792.815
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1164.16
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1061.91
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",1036.5
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",942.838
